585.155;939.71
585.155;939.71
585.996;942.744
585.996;942.744
587.367;947.695
587.367;947.695
589.287;954.626
589.287;954.626
591.774;963.608
591.774;963.608
594.774;974.629
594.774;974.629
598.115;987.526
598.115;987.526
601.56;1000.83
601.56;1000.83
604.796;1014.05
604.796;1014.05
607.44;1027.49
607.44;1027.49
609.379;1040.53
609.379;1040.53
605.681;1038.25
605.681;1038.25
604.533;1024.52
604.533;1024.52
602.551;1010.77
602.551;1010.77
599.559;997.31
599.559;997.31
596.574;983.883
596.574;983.883
593.587;970.45
593.587;970.45
589.549;957.291
589.549;957.291
545.616;819.898
585.494;944.133
545.616;819.898
585.494;944.133
546.29;830.001
581.987;932.762
546.29;830.001
581.987;932.762
579.732;925.481
579.732;925.481
548.51;844.941
577.293;917.747
548.51;844.941
577.293;917.747
557.542;848.005
572.737;909.361
557.542;848.005
572.737;909.361
565.029;858.018
567.8;898.958
565.029;858.018
567.8;898.958
569.731;869.616
561.496;887.069
569.731;869.616
561.496;887.069
574.001;880.275
555.774;874.551
574.001;880.275
555.774;874.551
576.495;887.319
551.784;861.814
576.495;887.319
551.784;861.814
575.393;894.551
549.913;851.813
575.393;894.551
549.913;851.813
552.162;841.492
578.126;903.907
552.162;841.492
578.126;903.907
581.054;915.151
581.054;915.151
584.766;927.026
584.766;927.026
588.286;939.002
588.286;939.002
591.608;951.005
591.608;951.005
584.904;830.47
594.928;963.003
584.904;830.47
594.928;963.003
